Number,Name,Address
49,Yacht Club Cafe,"Quay Street, Lower Town, Fishguard, SA65 9NB"
50,The Victoria Inn,"Roch, Haverfordwest, SA62 6AW"
51,Halfway Cafe Johnston,"Pope Hill, Haverfordwest, SA62 3NX"
52,Cresselly Arms,"Cresswell Quay, Kilgetty, SA68 0TE"
53,Roadhouse,"Abbey Road, Whitland, SA34 0LG"
54,The Stone Range,"Brook, Laugharne, SA33 4NX"
55,Hagans Cafe And Chip Shop,"2 Pensarn Road, Carmarthen, SA31 2BS"
56,White Hart Inn,"36 Carmarthen Road, Llandeilo, SA19 6RS"
57,Fu3l Tank,"Unit 5, Llyg Glas, Ammanford, SA18 3EZ"
58,Unit 7,"Burry Road, Llanelli, SA15 2DS"
59,Smugglers Gift Shop,"Port Eynon, SA3 1NN"
60,Chap In The Box,"Derwen Fawr Road, Blackpill, Swansea, SA3 5AS"
