Number,Name,Address
258,Bear Pit Cafe,"Ferry Road, Eastham, Birkenhead, CH62 0AU"
259,Cafe On The Hill,"Chester Road, Frodsham, WA6 0NT"
260,Swannie's Kitchen,"Bill Smith Motors, Whitchurch Road, Christleton, Chester, CH3 6AE"
261,Berries,"Nantwich Road, Wrenbury, Nantwich, CW5 8EW"
262,Rookery Wood Farm,"Weston Road, Crewe, CW1 6NE"
263,The Hub,"Old Town Hall, Widnes, WA8 7QZ"
264,BGS Cafe Bar,"Bikergear Superstore, Longford Street Warrington, WA2 7PG"
265,Farmhouse Kitchen Worsley,"Off Astley Park Way, Chaddock Lane, Worsley, Tyldesley M28 1FJ"
266,The Dam Bar & Grill,"Garswood Old Road, Saint Helens, WA11 7LZ"
267,Area 51 Coffee,"Southport Road, Scarisbrick, Ormskirk, L40 8HF"
268,The Gasket,"Skull House Lane, Appleby Bridge, WN6 9DR"
269,Leyland Heritage Cafe,"King Street, Leyland, PR25 2LE"
