Number,Name,Address
232,Lisa's Diner A6,"Derby Road, Loughborough, LE11 5UU"
233,Victoria Biker's Pub,"Whitwick Road, Coalville, LE67 3FA"
234,Cutting Garden Cafe,"Jubilee Business Park, 7 Snarestone Road, Appleby Magna, Swadlincote, DE12 7AJ"
235,Huggy's Speedshop,"Unit 2 Mallory Park Race Centre, Church Road, Kirkby Mallory, LE9 7QE"
236,Triumph 1902 Cafe,"Normandy Way, Hinkley, LE10 3BZ"
237,Nemos At Stoney Cove,"Sapcote Road, Stoney Stanton, Leicester, LE9 4DW"
238,Pistons And Rings,"Skylark Country Venue, Shuckburgh Road, Daventry, NN11 6JY"
239,Jacks Hill Cafe And Truck Stop,"A5 Watling Street, Towcester, NN12 8ET"
240,Refuel Coffee Shop,"3 Quorn Way, Northampton, NN1 2PN"
241,Sycamore Cafe,"Billing Garden Village, The Causeway, Great Billing, Northampton, NN3 9EX"
242,The Pilot's Mess,"Airport Business Park, Wellingborough Road, Sywell, Northampton, NN6 0BN"
243,Dam Good Dough,"Nene Court, Embankment, Wellingborough, NN8 1LD"
