Number,Name,Address
220,Glossop Cafeteria,"13 Victoria Street, Glossop, SK13 8HT"
221,Hope Tearooms,"Hope Road, Hope, S33 6RH"
222,The Anchor Inn,"Four Lanes' End, Tideswell, Buxton, SK17 8RB"
223,Grindleford Station Cafe,"Upper Padley, Grindleford, S32 2JA"
224,The Brew Time Cafe & Bar,"390A Sheffield Road, Chesterfield, S41 8LF"
225,Quackers,"Thirnbridge Hall, Ashford in the Water, Bakewell, DE45 1NZ"
226,Old Smithy Tearooms & Restaurant,"Church Street, Monyash Bakewell, DE45 1JH"
227,Flash Bar Cafe & Stores,"The Annexe, Buxton, SK17 0TF"
228,Mini Beans On The Lake,"Reacliffe Road, Leek, ST13 8RS"
229,Matlock Moto,"160/168 South Parade, Matlock, DE4 3NR"
230,Chequered Flag Cafe,"Darley Moor Race Circuit, Ashbourne, DE6 2ET"
231,Factory Heads Cafe,"Donington Park Circuit, Castle Donington, Derby, DE74 2RP"
