Number,Name,Address
61,Ystradowen Community Centre,"38 New Road, Ystradowen, SA9 2YY"
62,Lle Tarw,"Brecon Road, Ynyswen, Swansea, SA9 1YR"
63,The Basin Cafe,"Canal Car Park, Resolven, Neath, SA11 4BZ"
64,Garw Valley Cafe,"Church Street, Blaengarw, Bridgend, CF32 8BF"
65,Somerset Arms,"Commercial Road, Port Talbot, SA13 1LP"
66,Lilly's At CMC Thunder Road,"Tremains Road, Bridgend, CF31 1UA"
67,The Good Shack,"Heritage Business Park, Llantwit Major, CF61 1YU"
68,Larry's Coffee,"Knap Car Terrace, Barry, CF62 6FF"
69,Baffle Haus,"Old Post Inn, Swansea Road, Bonvilston, CF5 6TQ"
70,Case Cafe Miskin,"Miskin Manor Business Centre, Miskin, CF72 8ND"
71,Case Cafe Bedwas,"Bedwas, Caerphilly, CF83 8JG"
72,Mam's Kitchen,"61 Rheola Street, Penrhiwceiber, CF45 3TB"
