Number,Name,Address
129,North Cornwall Motorcycles,"1 Kings Hill, Bude, EX23 8PW"
130,The Currant Bun,"Sourton Cross Services, Okehampton, EX20 4LY"
131,Union Road Moto Velo,"1 Union Road, Crediton, EX17 3AL"
132,Cafe 53,"Bridge Motorcycles Ltd, Alphin Brook Road, Marsh Barton, Exeter, EX2 8RG"
133,Helen's Diner,"Hitchcocks Business Park, Willand, Cullompton, EX15 3FA"
134,Log Cabin Diner,"Moortown Barton, Knowstone, South Molton, EX36 4RZ"
135,Riverside Country Club,"Marsh Lane, South Molton, EX36 3HQ"
136,Withypool Tea Rooms,"Withypool, Exmoor, TA24 7BF"
137,No.1 Lynton The Coffee Lounge,"1 Castle Hill, Lynton, EX35 6JA"
138,Tilly's At Oakfield Farm,"Wiveliscombe Road, Norton Fitzwarren, Taunton, TA4 1BY"
139,Leather & Lace Bar And Grill,"114 Broadway, Chilton Polden, Bridgwater, TA7 9EW"
140,Wookey Hub,"High Street, Wookey, Wells, BA5 1JZ"
