Number,Name,Address
202,Our Plaice,"216 Dudley Road, Halesowen, B63 3NJ"
203,The Mann Cave Upstairs,"Chas Mann Motorcycles Ltd, 70 The Green, Kings Norton, B38 8RU"
204,Piston Club,"The Stag at Redhill, Alcester Rd, Stratford upon Avon, B49 6NQ"
205,Touchdown Café,"Loxley Lane, Wellesbourne, CV35 9EU"
206,Gilks' Garage Café,"Banbury Road, Kineton, CV35 0JZ"
207,Long Itch Diner,"Southam Road, Long Itchington, CV47 9QZ"
208,Crown Inn,"Henley Road, Claverdon, Warwick, CV35 8LJ"
209,Jo's Snax,"Jack O Watton Industrial Estate, Lichfield Road, Water Orton, Birmingham, B46 1NU"
210,River & Roads Cafe,"Unit 1, Alder Mill Business Park, Sheepy Road, Atherstone, CV9 3AH"
211,Jasper's Coffee Shop,"Swan House, Bosworth Hall Estate, The Park, Market Bosworth, Nuneaton, CV13 0LJ"
212,Swan Inn,"Fradley Junction, Burton-on-Trent, DE13 7DN"
213,Burton Banter,"Unit 10 Windsor Ind Est, Hawkins Lane, Burton, DE14 1QF"
