Number,Name,Address
190,Megs - The Hotspur Cafe,"Shobdon Airfield, Shobdon, HR6 9ND"
191,Route 44 Diner,"Waterloo Road, Kington, HR5 3DE"
192,HR4K,"Unit 12A Thorn Business Park, Hereford, HR2 6JT"
193,The Treehouse,"By the Wye, Hay on Wye Hereford, HR3 5RS"
194,Oldfield Forge Cafe,"Old Field Farm, Garaway Hill, Hereford, HR2 8HA"
195,Pencraig Diner/A40 Cafe,"Pencraig View, Ross-on-Wye, HR9 6HR"
196,Sally's Place,"Wynds Point, Upper Colwall, Malvern, WR13 6DW"
197,Anchor Inn,"Anchor Lane, Fladbury, Pershore, WR10 2PY"
198,Legacy Moto,"Beeches Barn, Bransford, WR6 5JN"
199,Bringsty Vintage Café,"Bringsty Common, Bringsty, WR6 5UJ"
200,Midwest Moto,"Ribbesford Road, Stourport-on-Severn, DY13 0TF"
201,Poole Hall Fisheries,"Dodds Green, Alveley, WV15 6JD"
