Number,Name,Address
13,Chocks Away Diner,"Aviation Park, Flint Road, Chester, CH4 0GZ"
14,Old Stores Motorbike Cafe,"Pontblyddyn, Mold, CH7 4HR"
15,Chain And Sprocket,"Hen Lon Parcwr, Ruthin, LL15 1LY"
16,Wrexham Miners Project Cafe,"3 Maesgwyn Road, Wrexham, LL11 2AP"
17,Aqueduct Diner,"Holyhead Road, Froncysyllte, Llangollen, LL20 7RA"
18,Rhug Farm Shop,"Rhug Estate, Corwen, LL21 0EH"
19,Bwyd A Ni,"Cental Buildings, Cerrig-y-Druidion, Corwen, LL21 9SW"
20,Caffi Woody's Café,"2 Pensarn Road, Bala, LL23 7YE"
21,Yr Hen Efail,"4 Green Lane, Dolgellau, LL40 1DL"
22,Beachside Cafe,"6 Marine Parade, Tywyn, LL36 0DE"
23,The Sands,"High St, Borth, SY24 5LH"
24,Prom Diner,"Marine Terrace, Aberystwyth, SY23 2BX"
