Number,Name,Address
1,Crempog Mon Anglesey,"Lon P Y Cudyn, Benllech, Tyn-y-Gongl, LL74 8TL"
2,Llygad Yr Haul,"90 High Street, Llanberis, Caernarfon, LL55 4SU"
3,Llwy A Mwy,"1 Water Street, Penygroes, Caernarfon, LL54 6LR"
4,Siop A Caffi Traeth Becws Islyn,"Nefyn, Pwllheli, LL53 6ED"
5,Mor A Mynydd,"Canolfan Fenter Congl Meinciau, Botwnnog, Pwllheli, LL53 8RA"
6,Caffi Siabod,"Eisteddfa Fishery, Pentrefelin, Criccieth, LL52 0PT"
7,Siop A Chaffi Llanfrothen,"Llanfrothen, Penrhyndeudreath, LL48 6AQ"
8,Y Gegin Gefn,"Prysor Service Station, Blaenau Ffestiniog, LL41 4TW"
9,Lakeside Cafe,"Power Station, A496, Blaenau Ffestiniog, LL41 3TP"
10,Conwy Falls Cafe,"Pentrefoelas, Betws-y-Coed, LL24 0PN"
11,Whistlestop Café,"HTM Business Park, Abergele Road, Rhyl, LL18 5UZ"
12,Billy Jeans Café,"Unit 2, The Haven, The Nant, Holywell, CH8 8BD"
