Number,Name,Address
142,The Hidden Cafe,"Howard Way, Newport Pagnell, MK16 9PY"
143,The Larder,"Manor Farm, Bourton, Buckingham, MK18 7DS"
144,Whitewaters Deli Cafe,"5 Chiltern Court, Backstreet, Wendover, HP22 6EP"
145,On Yer Bike Cafe,"A41 Bicester Road, Westcott, Bicester, HP18 0JX"
146,Motorsportopia,"Bicester Road Service Station, Marsh Gibbon, OX27 0EU"
147,The Saucy Hound,"The Pig Place, NB Acres, Aynho Road, Adderbury, Banbury, OX17 3NU"
148,Kingsley Cafe,"Eynsham, Witney, OX29 4EF"
149,Lynwood & Co,"134 High Street, Burford, OX18 4QU"
150,Lynwood & Co,"3 Bridge Street, Bampton, OX18 2HA"
151,Kickstand (Lotus Cafe),"2 London Street, Faringdon, SN7 7AA"
152,Munchies Of Grove,"10 Millbrook Square, Grove, Wantage, OX12 7JZ"
153,Greenham Control Tower & Cafe,"Burys Bank Road, Newbury Thatcham, RG19 8BZ"
