Number,Name,Address
81,Vintage Metals Ltd / Piston Grinds,"Mushet Business Centre, Crucible Close, Coleford, GL16 8RE"
82,Silver Fox Café,"Broadoak, Newnham on Severn, GL14 1JA"
83,Oily Rag,"Metz Way, Gloucester, GL1 1AJ"
84,Smokinly Good BBQ,"Unit 64, Basepoint, Oakfield Close, Tewkesbury, GL20 8SD"
85,Mr Watsons Café,"72 Northwick Business Centre, Blockley, GL56 9RF"
86,Revs Automobilia,"A429 Fosseway, Stretton on Fosse, GL56 9RE"
87,Cotswold Café / Pat's Baps,"London Road, Moreton in Marsh, GL56 0RR"
88,Cotswold Barn,"Longborough, Moreton in Marsh, GL56 0QZ"
89,The Classic Motor Hub,"Old Walls, Ablington, Bibury, GL7 5FF"
90,Lynwood & Co,"Market Place, Lechlade, GL7 3AD"
91,The Wild Olive,"Butts Farm, Cricklade Road, Cirencester, GL7 5QE"
92,Glider Cafe,"Cowcombe Hill, Chalford, Stroud, GL6 8GY"
