Number,Name,Address
93,The Globe,"43 High Street, Stonehouse, GL10 2NG"
94,Leaf And Ground,"Dursley Road, Dursley, GL11 6PP"
95,Westcountry Choppers At Explorers Hangout,"Unit 25F, Merton Road, Bishopston, Bristol, BS7 8TL"
96,Harry's Cafe At Fowlers,"2-12 Bath Road, Bristol, BS4 3DR"
97,Ells Kitchen,"Folly End Farm, Chippenham, SN14 8JR"
98,Malmesbury Garden Centre,"Crudwell Road, Malmesbury, SN16 9JL"
99,Chippenham Pit Stop,"Oakleigh Acres M4 Motorway, Draycot Cerne, Chippenham, SN15 5LH"
100,Unhenged Coffee Shop & Cafe,"Beckhampton Road, Marlborough, SN8 1RD"
101,Time At The Forge,"1 South Street, Aldbourne, Marlborough, SN8 2DW"
102,Choppers,"A338, Burbage, Marlborough, SN8 3RT"
103,Chefs Delight,"14 Station Road, Tidworth, SP9 7NZ"
104,Spitfire Kitchen,"Warner House, Salisbury, SP51 3TB"
