Number,Name,Address
270,Lakeside Cafe,"Ball Grove Drive, Colne, BB8 7HY"
271,The Three Horses,"Fell Lane, Keighley, BD22 6BZ"
272,Dick Turpins,"Lay-by A59, Horton, Skipton, BD23 3JP"
273,Dalesway Cafe,"A59 Harrogate Road, Skipton, BD23 6AB"
274,The Retreat,"14-16 Main Street, Grassington, BD23 5AA"
275,Coffee In The Cave,"The Cellar, Town Hall, Market Place, Settle, BD24 9EJ"
276,Riverbank Tearooms,"23 Chapel Street, Slaidburn, Clitheroe, BB7 3ES"
277,Puddleducks Tea Room,"Dunsop Bridge, Clitheroe, BB7 3BB"
278,Wild Buck,"Clitheroe Road, Waddington, Clitheroe, BB7 3HP"
279,Chipping Farm Shop,"Wilsden, Garstang Road, Chipping, Preston, PR3 2QH"
280,Lock Keepers Rest,"Tithebarn Hill, Glasson Dock, Lancaster, LA2 0BY"
281,Bull Beck Snack Bar,"Bull Beck Picnic Site, Brookhouse, Lancaster, LA2 9QR"
