Number,Name,Address
244,New Lodge Farm Bulwick,"Rockingham Forest, Laxton Road, Corby, NN17 3DU"
245,Welcome Cafe,"Tilton Road, Twyford and Thorpe, Leicester, LE14 2HZ"
246,Lily's Lavender Hut,"11 Market Place, Corby Glen, Grantham, NG33 4NH"
247,Ollie's At Unique Cottage And Cafe,"Fulney Lane South, Spalding, PE12 6FA"
248,Unicorns & Riderz Bar And Grill,"7 Hoddins Way, Long Sutton, Spalding, PE12 9JB"
249,Cheles & Max's Country Kitchen,"A17, Cranwell and Byards Leap, Sleaford, NG34 8EY"
250,Seaview Cafe,"Sea View Car Park, Quebec Road, Mablethorpe LN12 1LT"
251,The Granary Tea Room,"Bardney Road, Wragby LN8 5QZ"
252,Jenny's Cafe,"38 Brigg Road, Hibaldstow, Brigg, DN20 9PD"
253,Revs & Relics,"77 Blyth Road, Maltby, S66 7LF"
254,Green Hut Cafe,"Worksop Road, Ollerton, NG22 9DR"
255,Nitro Diner,"Kirkby Lane Works, Pinxton, NG16 6JA"
