Number,Name,Address
37,Crossgates Cafe,"Llanbadarn Fawr, Crossgates, Llandrindod Wells, LD1 6RE"
38,The Fforest Inn,"Llanfihangel-nant-Melan, Presteigne, LD8 2TN"
39,The Old Railway Line Garden Centre,"Three Cocks, Brecon, LD3 0SG"
40,Siop Llangors Shop,"Llangors, Brecon, LD3 7UA"
41,Talybont Stores,"Talybont-on-Usk, Brecon, LD3 7YJ"
42,Delboys,"A40, Llanspyddid, Brecon, LD3 8PB"
43,The Owls Nest,"Lower Road, Llandovery, SA20 0DJ"
44,Coffi A Bara,"Unit 4, Clos Twm Sion Cati, Tregaron, SY25 6JX"
45,Moody Cow Bistro At Moody Meadows,"Bargoed Farm, Llwyncelyn, SA46 0HL"
46,Teifi Chips,"Emlyn Square, Newcastle Emlyn, SA38 9BG"
47,Waters Edge Cafe,"Hoel Pentraeth, Aberporth, SA43 2DD"
48,Station Cafe,"Station Road, Cardigan, SA43 3AD"
