Number,Name,Address
117,Jailhouse Diner,"106 Grove Road, Grove, Portland, DT5 1DZ"
118,Quayside Cafe,"Axmouth Harbour, Seaton, EX12 4AA"
119,Park Hotel,"114 Exeter Road, Exmouth, EX8 1QH"
120,Josie's,"The Jolly Roger, The Mill, St Johns Lane, Bovey Tracey, TQ13 9FF"
121,Baffles Cafe At Davant Bikes,"Broomhill Way, Torquay, TQ2 7QL"
122,Waterside Inn,"128 Dartmouth Road, Goodrington, Paignton, TQ4 6ND"
123,Re-Charge At Rainbow Moto,"7-11 Cattewater Road, Faraday Mill Trading Estate, Plymouth, PL4 0SF"
124,Pit Stop Cafe,"1 Eagle Road, Plympton, Plymouth, PL7 5JY"
125,Louis Tea Room,"Kit Hill, Callington, PL17 8AX"
126,Coby's Coffee Shop,"The Chapel, Fletchersbridge, Bodmin, PL30 4AN"
127,Project Eighty Three,"Unit 2, Wesley Yard, Newquay, TR7 1LB"
128,Highway 39 Cafe And Lounge,"Titchsborough Hill, Otterham Station, Camelford, PL32 9SW"
