Number,Name,Address
287,Castle Cafe Withernsea,"10 Pier Road, Withernsea, HU19 2JS"
288,Zoom Cafe Bar,"South Cave Business Park, Sand Lane, South Cave, Brough, HU15 2JQ"
289,Wheels Cafe Sykehouse,"The Old George Inn, Doncaster, DN14 9AU"
290,The Bay Horse,"Bradford Road, East Ardsley, Wakefield, WF3 2HQ"
291,The Motorist,"New Lennerton Road, Sherburn in Elmet, Leeds, LS25 6JE"
292,Monkey Pot Cafe,"Riccall Airfield Industrial Estate, Market Weighton Road, Selby, YO8 5LD"
293,Strawberry Fields Cafe,"Crockley Hill, York, YO19 4SJ"
294,Seaways Of Fridaythorpe,"Fimber Road, Fridaythorpe, Driffield, YO25 9RX"
295,Hall Bros Motorcylces,"Lancaster Road, Bridlington, YO15 3QY"
296,Warley Cross Cafe,"Brandesburton, Driffield, YO25 8EW"
