Number,Name,Address
160,Emma's Cafe,"Pure Triumph, George Street, Woburn, MK17 9PY"
161,Brewpoint Bedford,"Cut Throat Lane, Fairhill, Bedford, MK41 7FY"
162,Amici Coffee,"Girtford Bridge House, Sandy, SG19 1NA"
163,Veloce Club,"5 Bury Mead Road, Hitchin, SG5 1RT"
164,Cafe Riverside Omelette House,"Frogge Street, Ickleton, Saffron Walden, CB10 1SH"
165,TTT Motorcycle Village & Cafe,"Unit 6, Bulmer Road Industrial Estate, Bulmer Road, Sudbury, CO10 7HJ"
166,Angel Cafe,"1 Baldry's Yard, Fair Green, Diss, IP22 4NQ"
167,Grumpy's Cafe,"The Old Mill, Earsham, NR35 2TQ"
168,Jester's Diner,"1 Normanston Park, Peto Way, Normanston, Oulton Broad, Lowestoft, NR32 2QB"
169,Joylands American Family Diner,"Marine Parade, Great Yarmouth, NR30 2DL"
170,Blue Sky Coffee House,"Runton Road, Cromer, NR27 9AU"
171,Blackham Station Cafe,"Station Road, Reepham, Norwich, NR10 4LJ"
