Number,Name,Address
25,Cletwr,"Tal-y-wern, Machynlleth, SY20 8PN"
26,Caffi Glyndwr,"69 Heol Maengwyn, Machynlleth, SY20 8EE"
27,Dyffryn Café And Restaurant,"Foel, Welshpool, SY21 0NU"
28,Dafarn Newydd Village Stores,"Dafarn Newydd, Llanwddyn, SY10 0LT"
29,Welshpool & Llanfair Light Railway Tea Room,"Llanfair Caereinion, SY21 0SF"
30,Inglenook Cafe,"Union Street, Welshpool, SY21 7PG"
31,Lion Bites,"Pool Road, Newtown, SY16 3AG"
32,Seasons Café,"Llwyn Afon Field, Caersws, SY17 5SA"
33,Riverside Café,"Llanidloes, Dolwen, SY18 6LX"
34,Woodlands Cafe,"A4120, Devils Bridge, Aberystwyth, SY23 3JW"
35,Ty Penbont,"Penbont House, Elan Valley, Rhayader, LD6 5HS"
36,Ty Morgans,"East Street, Rhayader, LD6 5BH"
