Number,Name,Address
105,The Hook And Glove,"The Street, Farley, Salisbury, SP5 1AB"
106,Deus Ex Machina - The Lodge Of Heavy Leisure,"23 Argyle Road, Boscombe, Bournemouth, BH5 1EB"
107,Bikers Loft,"11 Ventura Place, Poole, BH16 5SW"
108,Rivo's Hub,"Sandford, Wareham, BH20 7AE"
109,The Worlds End,"Almer, Blandford Forum, DT11 9EW"
110,The View Coffee Shop And Canteen,"Sports Club, Hoggens Down, Milton Abbas, Blandford, DT11 0BB"
111,Lore Of The Sky At Compton Abbas Airfeild,"Compton Abbas Airfield, Salisbury, SP5 5AP"
112,Hillside Cafe,"Codford, Warminster, BA12 0JZ"
113,The Old Brewery Cafe And Kitchen,"Wyke Road, Gillingham, SP8 4NW"
114,The Bridge Bakery,"The Bridge, Westover Trading Estate, Langport, TA10 9RB"
115,No 5 Diner,"1 Kingfisher Close, Gazelle Road, Yeovil, BA20 2PJ"
116,Wardon Hill Trading Post,"Long Ash Lane, Dorchester, DT2 9PW"
